Questions,ANSWERS
744. On the fourth day God made the Sun Moon and what else?,744. Stars (Gen 1:16)
745. In the New Jerusalem described in Revelation what are the twelve gates made from?,745. Pearls (Rev 21:21)
"746. Which Psalm is entitled ""A Prayer of Moses""? 747. On what day of creation were dry land and seas created?",746. Psalm 90 (Ps 90:1)
747. What did God call the drylands and the waters that he created?,747. Earth and sea (Gen 1:10)
748. How many tribes was Jeroboam promised he would rule over?,748. Ten (1 Ki 11:31)
749. Which brother did Joseph imprison while the others returned to Jacob?,749. Simeon (Gen 42:24)
750. Who were the spies that were sent out by Moses?,750. The chief of every tribe (Num 13:2)
752. Whose mother found him a wife from Egypt?,752. Ishmael (Gen 21:21) 
"753. Noah was a ""preacher"" of what?",753. Righteousness (2 Pe 2:5) 
"754. Which of the twelve sons of Jacob had a name that means ""praise""?",754. Judah (Gen 29:35)
755. In the parable that Jesus told Simon the Pharisee what did the creditor do when the debtors couldn't pay?,755. Cancelled their debts (Luke 7:42)
756. How many men and women were in the temple to watch Samson entertain them?,756. 3000 (Jdg 16:27)
758. Why shouldn't we be yoked with unbelievers?,758. what partnership has righteousness with lawlessness (2 Cor 6:14)
759. What was the name of the servant who had his ear cut off at the arrest of Jesus?,759. Malchus (John 18:10)
760. What did Samson carry to the top of the hill overlooking Hebron?,760. City gates (Jdg 16:3)
761. Whose house did Paul go to in Caesarea?,761. Philip (Acts 21:8)
762. Who went to sleep during one of Paul's sermons and fell out of the window?,762. Eutychus (Acts 20:9)
763. Which prophet of God told Naaman to wash in the river Jordan to cure his leprosy?,763. Elisha (2 Ki 5:10)
764. What occupation did Priscilla have?,764. Tentmaker (Acts 18:3)
765. One title of God is El Shaddai which means what?,765. Almighty God (Gen 17:1)
766. What is the seventh commandment?,766. Thou shall not commit adultery (Exo 20:14) 
767. How many cities of refuge were on the east side of Jordan?,767. Three (Deut 4:41)
768. What was the name of Joseph's (son of Jacob) first born son?,768. Manasseh (Gen 41:51)
769. According to the Bible what sort of man was Noah?,769. Just / Godly / Blameless (Gen 6:9)
770. How many tribes inherited land on the east of Jordan?,770. Two and a half (Josh 18:7)
771. What relation was Lois to Timothy?,771. Grandmother (2 Tim 1:5)
772. In the parable of the Good Samaritan what did the Levite do when he passed by the robbed man?,772. Passed on (Luke 10:32)
773. What does Lydia of the city of Thyatira sell?,773. Purple (Acts 16:14)
774. Who did the elders of Gilead ask to be their leader against the Ammonites?,774. Jephthah (Jdg 11:8)
775. What was the name of the prophet who prophesied that Paul would be bound at Jerusalem?,775. Agabus (Acts 21:10)
776. How did King Zimri commit suicide?,776. Burned his house down while still inside it (1 Ki 16:18)
777. In the parable of the laborers in the vineyard how much was each person paid to work?,777. One pence (denarius) (Matt 20:2)
778. Whose wife went into labor and gave birth on hearing the news that the Ark of God was captured and that her father-in-law and husband were dead?,778. Phinehas' (1 Sam 4:19)
779. In Luke's account of the Beatitudes who does Jesus say the Kingdom of God belongs to?,779. The poor (Luke 6:20)
780. For what reason did Isaac say he loved Esau?,780. Isaac ate of his venison (Gen 25:28) 
781. In the ritual cleansing of a leper under the Law of Moses which animals were to be offered on the eighth day?,781. Lambs (Lev 14:10)
"782. Who should you ""withdraw from"" according to the epistles of Thessalonians?",782. Idle/disorderly brethren (2 Th 3:6) 
784. How was the earth watered initially before rain?,784. Mist went up from the earth (Gen 2:6) 
785. What proportion of his goods did Zacchaeus give away to the poor?,785. Half (Luke 19:8)
786. How old was Anna the prophetess when she saw Jesus?,786. Eighty-four (Luke 2:37)
787. What did Rachel steal from her father Laban when she left home with her husband Jacob?,787. Household gods / idols (Gen 31:19)
789. How does Psalm 96 say we should worship God?,789. In the beauty of holiness (Ps 96:9)
"790. Why should children listen to ""the instruction of a father""?",790. To gain understanding (Pro 4:1)
791. What did the disciples say to Jesus before the ascension?,791. Lord will you at this time restore again the kingdom to Israel? (Acts 1:6) 
792. What did Jesus eat to convince the disciples that he was indeed raised from the dead?,792. Fish and honeycomb (Luke 24:42) 
793. How old was Joseph when he died? Where was David born?,793. 110 (Gen 50:22)
794. Where was David born?,794. Bethlehem (1 Sam 17:58)
"795. How were the Thessalonians told to ""keep their own bodies""?",795. In sanctification and honor (1 Th 4:4) 
796. How many companions did the Philistines give to Samson at the feast in Timnah?,796. Thirty (Jdg 14:11)
797. What did Noah send out to test whether the land was dry?,797. Dove (Gen 8:8)
798. What instruments were used to praise God when the temple foundation was rebuilt?,798. Trumpets and cymbals (Ezr 3:10) 
801. What did Daniel see by the river Hiddekel?,801. A man clothed in linen (Dan 10:5)
802. Which tribe went to war with the rest of the children of Israel?,802. Benjamin (Jdg 20:14)
803. Paul thanks God that he did not baptize any of the Corinthians except for which people?,803. Crispus Gaius and the household of Stephanas (1 Cor 1:14)
804. Which Pharisee said that if the gospel truly comes from God no-one will be able to stop it spreading?,804. Gamaliel (Acts 5:34)
805. Where does Solomon say that leopards live?,805. Mountains (Song 4:8)
806. What did the New Jerusalem look like in the book of Revelation?,806. Like a bride (Rev 21:2)
807. Melchizedek was a high priest but also king of where?,807. Salem (Gen 14:18 Heb 7:1)
808. Which king had the longest reign over the Kingdom of Israel?,808. Jeroboam II (2 Ki 14:23)
809. On what day of the week was Christ resurrected?,809. First (John 20:1)
810. Paul and Silas were imprisoned during the second missionary journey but in what city did this happen?,810. Philippi (Acts 16:12)
812. In Matthew's account of the Sermon on the Mount what was the first of the Beatitudes?,812. Blessed are the poor in spirit for theirs is the kingdom of heaven (Matt 5:3)
813. Jesus appeared to his disciples after the resurrection beside which sea?,813. Sea of Tiberias (Galilee) (John 21:1)
815. Where did Philip preach the good news about the Kingdom of God leading to many baptisms?,815. Samaria (Acts 8:12)
816. What did Paul do immediately after receiving his sight back?,816. He was baptized (Acts 9:18)
817. What was the name of the city where God promised Elijah a widow will sustain him?,817. Zarephath (1 Ki 17:9)
819. What was the name of a man who was given the Spirit of God to enable him to become a good craftsman and assist with the building of the tabernacle?,819. Bezaleel (Exo 31:2)
820. Who did God say would rule over ten tribes after Solomon?,820. Jeroboam (1 Ki 11:31)
821. What did Melchizedek give to Abram?,821. Bread and wine (Gen 14:18)
823. Who was king of the southern kingdom when the northern kingdom of Israel fell to Assyria?,823. Hezekiah (2 Ki 18:9)
825. In Zechariah the prophet has a vision of a man riding a red horse and standing under what kind of tree?,825. Myrtle (Zec 1:8)
826. For how long did Abdon son of Hillel judge Israel?,826. Eight years (Jdg 12:14)
827. When the Israelites came to Elim how many palm trees were there?,827. Seventy (Exo 15:27)
828. How many rivers did the river in Eden split into once it left the garden?,828. Four (Gen 2:10)
829. What was the name of the Sorcerer Paul met on the island of Cyprus?,829. Elymas (Bar-Jesus) (Acts 13:8)
830. How much did Ruth glean on her first day in Boaz's field?,830. An ephah of barley (Ruth 2:17)
831. Who thanked King David for allowing his (David's) son Absalom to return to Jerusalem?,831. Joab (2 Sam 14:22)
"832. In the parable of the lamp where is the candle to be ""set once it is lit""?",832. In a candlestick (Luke 11:33)
"833. ""A wholesome (healing) tongue"" is described as what?",833. A tree of life (Pro 15:4)
834. Three of David's mighty men went to get him a drink of water from where?,834. A well of Bethlehem (2 Sam 23:16)
836. What was the name of the field where Abraham buried his wife?,836. Machpelah (Gen 23:19)
837. From which country did Solomon import horses?,837. Egypt (1 Ki 10:28)
839. Why did Pharaoh give Joseph's family the land of Goshen to live in?,839. To keep them separate as they were shepherds which were an abomination to the Egyptians (Gen 46:34)
840. After the exile the Israelites returned and started to rebuild the temple in Jerusalem but which other prophet along with Zechariah was sent to encourage the completion of the partly built temple?,840. Haggai (Hag 2:4)
841. At what place did the writer to the Thessalonians say he'd been given rough treatment?,841. Philippi (1 Th 2:2)
842. Who was well reported of at Lystra and Iconium?,842. Timothy (Acts 16:2)
843. In John's first epistle which three things are said to testify and agree about Jesus?,843. The Spirit the water and the blood (1 Jn 5:8)
"844. In Proverbs how shall the ""man's belly be satisfied""?",844. By the fruit of his mouth (Pro 18:20)
845. What did Rahab hide the two spies under?,845. Stalks of fiax (Josh 2:6)
846. In years roughly how long did Paul spend in Ephesus?,846. Three years (Acts 20:31)
"848. What does Psalm 16 say there is in ""the Lord's right hand""?",848. Pleasures for evermore (Ps 16:11)
849. Who walked barefoot and naked for three years at the Lord's command?,849. Isaiah (Isa 20:2)
850. Who promised to give their daughters to Shechemites if they agreed to be circumcised only to kill them instead three days later while they were still sore?,850. Sons of Jacob (Gen 34:13)
851. Which god did the people of Lystra think Paul was?,851. Mercurius (Hermes) (Acts 14:12)
852. What happened to the sun when the sixth seal was opened?,852. It became as black as sackcloth (of hair) (Rev 6:12) 
853. What characteristics are attached to the breastplate mentioned in Thessalonians?,853. Faith and love (1 Th 5:8)
855. In Revelation unclean spirits came out of the mouth of the dragon in the form of what animals?,855. Frogs (Rev 16:13)
856. How old was Noah when the floods came?,856. 600 (Gen 7:6)
858. Which king contributes words of wisdom in Proverbs chapter 31?,858. Lemuel (Pro 31:1)
859. In which Jewish month is the Passover?,859. Abib (Deut 16:1)
860. Who did Daniel see sitting in a throne in his vision of the four beasts?,860. The Ancient of Days (Dan 7:9)
861. The Ethiopian eunuch held what office of responsibility to Candace queen of the Ethiopians?,861. Treasurer (Acts 8:27)
862. How does Psalm 100 say we should come before the Lord's presence?,862. With singing (Ps 100:2)
863. How many concubines did Solomon have?,863. 300 (1 Ki 11:3)
864. How did Moses make the bitter waters of Marah sweet?,864. Threw a piece of wood into the water (Exo 15:25)
865. How did Adam and Eve feel about their nakedness at first?,865. They were not ashamed (Gen 2:25) 
866. Who deceived the worshippers of Baal into attending sacrifices only to destroy them all once they had arrived?,866. Jehu (2 Ki 10:19)
867. The branched candlestick in the tabernacle had its cups carved in the likeness of which plant?,867. Almond blossom (Exo 25:33)
868. What happened to the soldiers of Gideon who lapped the river water with their tongues like dogs?,868. They were chosen to fight against the Midianites (Jdg 7:5)
870. How old was Abraham's first wife when she died?,870. 127 years (Gen 23:1)
"871. To what does the ""seventy weeks"" prophecy refer?",871. The coming of the Messiah (Dan 9:24)
872. To which tribe did Anna the prophetess belong?,872. Asher (Luke 2:36)
873. What part of Paul's clothing did Agabus use?,873. Girdle (belt) (Acts 21:11)
875. Who was the father in law of Caiaphas the high priest at the time of Jesus death?,875. Annas (John 18:13)
876. Who did Paul take with him on his first missionary journey?,876. Barnabas (Acts 13:4)
877. Jesus initially sent the twelve disciples to preach to which group of people?,877. House of Israel (Matt 10:6)
878. Where will the believers reign in the Kingdom of God?,878. On Earth (Rev 5:10)
879. Who did Joseph's brothers sell him to?,879. Ishmaelites (Gen 37:28)
"880. Who shall the ""prayer of faith"" save?",880. The sick (Jam 5:15)
881. Where did Delilah live?,881. Valley of Sorek (Jdg 16:4)
"882. Who was Paul referring to when he said ""May the Lord grant mercy to his household for he often refreshed me and was not ashamed of my chains""?",882. Onesiphorus (2 Tim 1:16)
883. How many elders witnessed Boaz's agreement with the kinsman?,883. Ten (Ruth 4:2)
"884. According to Job what is the hope of ""a tree that is cut down""?",884. It will sprout again (Job 14:7)
885. What should the Israelites not destroy when they besiege a city?,885. Trees for meat (Deut 20:19)
886. What offering did Gideon present to the Lord under the oak tree?,886. A young goat and some unleavened bread (Jdg 6:19) 
887. On what island was Paul shipwrecked as he made his way to Rome?,887. Malta (Acts 28:1)
"888. ""An excellent wife"" is a what to her husband?",888. A crown (Pro 12:4)
889. To what tribe did Samson belong?,889. Dan (Jdg 13:25)
890. Where did Israel pitch its tents by Jericho?,890. Plains of Moab (Num 22:1)
"893. What is ""sanctified by the word of God and prayer""?",893. God's creation (1 Tim 4:5)
894. In the parable of the good father if a son asks for an egg what would the good father not give him?,894. A scorpion (Luke 11:12)
895. Fearing that Saul wanted to kill him what lie did David ask Jonathan to tell his father if asked why he wasn't at the king's table for the New Moon feast?,895. He had gone to Bethlehem for afamily gathering (1 Sam 20:6) 
896. What was the name of the field that Jacob requested to be buried in?,896. Machpelah (Gen 50:13) 
897. How long did Noah live for after the flood?,897. 350 years (Gen 9:28)
898. Paul Timothy and who else sent their greetings to Thessalonica?,898. Silvanus (1 Th 1:1)
899. How many years did Jacob live for?,899. 147 (Gen 47:28)
"900. What animal is ""better than a dead lion""?",900. A living dog (Ecc 9:4)
901. One of the ten plagues of Egypt was the plague of boils but which number was it?,901. Sixth (Exo 9:8)
902. Which city did Silas and Timothy come from before they met up with Paul in Corinth?,902. Macedonia (Acts 18:5)
"903. Who told his wife not to worry that she was barren and said ""am not I better to thee than ten sons""?",903. Elkanah (1 Sam 1:8)
"904. What does Job say is ""poured out like water""?",904. His groanings (roarings) (Job 3:24)
"905. A word ""softly spoken"" is like what of gold set in pictures of silver?",905. Apples (Pro 25:11)
906. On which occasion in the Bible does it specifically say that believers sung a hymn?,906. Jesus and the disciples celebrating Passover (Matt 26:30)
907. To which city did Samson go down to and kill thirty men?,907. Ashkelon (Jdg 14:19)
908. Who was the Persian king when the rebuilding of the temple after the exile was finally complete?,908. Darius (Ezr 6:15)
909. What part of King Asa's body was diseased?,909. Feet (1 Ki 15:23)
910. Which priest anointed Solomon?,910. Zadok (1 Ki 1:39)
"911. Who does James say is the ""source of every good and every perfect gift""?",911. Father of Lights (Jam 1:17)
912. Which disciple asked Jesus to show them the Father?,912. Philip (John 14:8)
913. What did Athaliah do when she saw her son Ahaziah was dead?,913. Destroyed the rest of the royal family (2 Ki 11:1)
914. Who had a bed 13.5 foot long by 6 foot wide?,914. Og (Deut 3:11)
915. Whose handkerchiefs were able to heal the sick?,915. Paul (Acts 19:12)
916. How did Daniel react to the vision by the river Hiddekel?,916. He felt ill and weak (Dan 10:8)
917. Which Old Testament prophet was given a book to eat by God?,917. Ezekiel (Eze 3:2)
918. What was the name of the centurion who looked after Paul on the journey to Rome?,918. Julius (Acts 27:1)
"919. Which book of the Bible comments that ""dead flies cause the ointment of the apothecary to send forth a stinking savor?""",919. Ecclesiastes (Ecc 10:1)
"920. ""Bread gained by deceit is sweet to a man"" but what shall his mouth be filled with afterwards?",920. Gravel (Pro 20:17)
922. How long did it take Solomon to build his own house?,922. Thirteen years (1 Ki 7:1)
924. In the parable of the debtors one owed 500 denarii (pence) but how much did the other one owe?,924. Fifty (Luke 7:41)
925. What was the name of the man who was paralyzed and had been bedridden for eight years?,925. Aeneas (Acts 9:33)
926. How old was Abram when he first became a father?,926. Eighty-six years (Gen 16:16)
927. How old was David when he died?,927. Seventy (2 Sam 5:4)
928. How long was Noah's ark?,928. 300 cubits / 450 feet (Gen 6:15)
929. During Paul's third missionary journey roughly for how long did he minister in the school of Tyrannus at Ephesus?,929. Two years (Acts 19:10)
"930. What does James say ""envying and strife in your heart"" brings?",930. Confusion and every evil work (Jam 3:16)
931. Which honorable counselor was waiting for the Kingdom of God?,931. Joseph of Arimathea (Mrk 15:43)
932. One of the Ten Commandments forbids the coveting of a neighbor's property. Which one?,932. Tenth (Exo 20:17)
933. What did God specifically command concerning the eating of the thanksgiving offering that the Israelites made?,933. They must eat it on the day it is offered. (Lev 7:15)
"934. Which tribe's blessing from Jacob said they would ""dwell at the haven of the sea""?",934. Zebulun (Gen 49:13)
935. Jesus accused the Pharisees of hypocritically paying tithes on herbs and omitting which weightier matters of the law?,935. Judgment mercy and faith (Matt 23:23)
936. Which king of Heshbon would not let the Israelites pass through his land?,936. Sihon (Deut 2:30)
939. What was the name of the god that Barnabas was called at Lystra?,939. Jupiter (Zeus) (Acts 14:12)
940. How many horns did the ram in Daniel's vision have?,940. Two (Dan 8:3)
942. The disciple Thomas was also known as Didymus but what does this name mean?,942. Twin (John 11:16)
943. Which king decreed that the Jews could return to their land to rebuild the temple?,943. Cyrus (Ezr 1:2)
944. Isaiah took a cake of what to heal Hezekiah?,944. Figs (2 Ki 20:7)
"945. Who prayed ""I pray thee open his eyes that he may see?""",945. Elisha (2 Ki 6:17)
946. How many silver shekels did Jeremiah pay to Hanameel for a field in Anathoth?,946. Seventeen (Jer 32:9)
947. In the love poetry of Song of Solomon the lady's hair is described as a flock of which animal?,947. Goats (Song 4:1)
948. What is the first offering made to the Lord recorded in the Bible?,948. Cain's fruit of the ground (Gen 4:3)
949. Who has the right to the tree of life?,949. Those that do God's commandments (Rev 22:14)
"950. In Proverbs what metal is the ""tongue of the just"" likened to?",950. Silver (Pro 10:20)
951. Which three tribes camped on the northern side of the tabernacle in the wilderness?,951. Dan Asher Naphtali (Num 2:25)
952. To where did Paul & Silas flee after upsetting the Jews at Thessalonica?,952. Berea (Acts 17:10)
953. How many silver pieces would each Philistine lord give to Delilah if she betrayed Samson?,953. 1100 (Jdg 16:5)
"954. In the parable about a fig tree when you see the ""tree putting forth leaves"" what is near?",954. Summer (Matt 24:32)
"955. According to Proverbs how do those ""seeking death"" acquire their wealth?",955. By lying (Pro 21:6)
956. In the prophecy of Isaiah where will a little child play in the kingdom age?,956. Over the hole of a snake (Isa 11:8)
957. In Genesis who was buried under an oak tree below Bethel?,957. Deborah (Rebekah's nurse) (Gen 35:8)
958. What color was the High Priest's robe?,958. Blue (Exo 28:31)
"959. Who does Paul thank God for because their ""faith and love grew exceedingly""?",959. The Thessalonians (2 Th 1:3)
960. Which nation does Jeremiah say is dwelling in Gad?,960. Ammon (Jer 49:1)
961. In which city were Paul and Barnabas worshipped as gods?,961. Lystra (Acts 14:11)
962. What does the name Israel mean?,962. Prevails with God (Gen 32:28)
"963. What must an Israelite do when ""building a new house""?",963. Build a guard rail around the roof (Deut 22:8) 
"964. Which prophet said ""Out of Egypt have I called my son""?",964. Hosea (Hos 11:1)
"965. ""Deceit is in the heart of them that""... do what?",965. Imagine evil (Pro 12:20)
967. Where did Paul leave the sick Trophimus?,967. Miletum (Miletus) (2 Tim 4:20)
968. In a battle against the Syrians what killed 27000 of them in the city of Aphek?,968. A wall fell on them (1 Ki 20:30)
969. What weight of gold was Solomon recorded as acquiring in one year?,969. 666 talents (1 Ki 10:14)
"970. Who addresses an epistle to the ""twelve tribes which are scattered abroad""?",970. James (Jam 1:1)
971. Who was killed by a wet blanket?,971. Benhadad (2 Ki 8:15)
972. In the parable of the Prodigal Son what did the son do after he received the inheritance?,972. Travelled and spent them all (Luke 15:13)
"973. What did Elisha throw into Jericho's water supply to ""heal"" it?",973. Salt (2 Ki 2:21)
974. With what unusual weapon did Shamgar slay 600 Philistines?,974. A cattle prod (ox goad) (Jdg 3:31)
975. In which tribe was the city of Ramoth-Gilead?,975. Gad (Deut 4:43)
976. Why do the four and twenty elders in Revelation give thanks to God?,976. God has taken his power and commenced his reign (Rev 11:17) 
977. David refers to the tribe of Judah as his what in the Psalms?,977. His lawgiver (royal scepter) (Ps 60:7) 
"978. When Isaiah describes the desolation of the last days a man shall ""cast his idols of silver and his idols of gold to the moles"" and the what?",978. Bats (Isa 2:20)
979. What tribe was Anna the prophetess from?,979. Aser (Luke 2:36)
980. Children in the region of what age were to be killed in the hope that the young Jesus would also be killed?,980. Two years and under (Matt 2:16) 
982. What was Aeneas of Lidda sick from?,982. Palsy (Acts 9:33)
983. Where was Solomon anointed?,983. Gihon (1 Ki 1:38)
984. Christ was led away to which high priest first?,984. Annas (Luke 3:2)
985. Whose mother does Paul greet in the letter to the Romans?,985. Rufus' (Rom 16:13)
"987. ""The legs of the lame hanging limp"" are like what in the mouth of fools?",987. A parable (Pro 26:7)
988. How does Peter say a husband should treat his wife?,988. With honor (1 Pe 3:7)
"990. Why does David say ""the daughters of Judah should be glad""?",990. Because of the judgments of the Lord (Ps 48:11)
991. For how many shekels of silver did Abraham purchase the field of Machpelah?,991. 400 (Gen 23:16)
"992. In Ezekiel's prophecy who is said to be the ""mother of Jerusalem""?",992. A Hittite (Eze 16:3)
993. Who asked Jesus what is the greatest commandment of all?,993. One of the Scribes (Mrk 12:28)
994. Who succeeded Herod the Great after his death?,994. Archelaus (Matt 2:22)
995. On Paul's journey to Rome at what location did he meet brethren whom he thanked God for?,995. Appii forum (Acts 28:15)
"996. Proverbs describes a ""fair woman without discretion"" as like a jewel of gold in what?",996. A pig's snout (Pro 11:22)
997. What does the name Abram mean?,997. High father / Father of heights (Gen 17:5)
998. Who was the firstborn of David?,998. Amnon (1 Chr 3:1)
"999. In Luke's account of the Sermon on the Mount to who does Jesus say ""God is kind""?",999. The unthankful and the evil (Luke 6:35) 
1000. How many cities did the Levites possess?,1000. Forty-eight (Josh 21:41)
"1001. The angel said to Mary that Jesus would ""reign over the house"" of which who?",1001. Jacob (Luke 1:33)
